,年份,地块名,季节,作物名,种植面积
76,2024,E10,2,榆黄菇,0.6
77,2024,E11,2,白灵菇,0.6
78,2024,E12,1,刀豆,0.6
79,2024,E13,2,羊肚菌,0.6
80,2024,E14,1,刀豆,0.6
81,2024,E15,2,白灵菇,0.6
82,2024,E16,2,白灵菇,0.6
83,2024,F1,2,豇豆,0.2
84,2024,F1,2,茄子,0.2
85,2024,F1,2,黄瓜,0.2
86,2024,F2,2,豇豆,0.3
87,2024,F2,2,茄子,0.3
88,2024,F3,2,豇豆,0.5
89,2024,F3,2,黄瓜,0.1
90,2024,F4,2,黄瓜,0.6
91,2025,A1,1,玉米,80.0
92,2025,A2,1,黄豆,55.0
93,2025,A3,1,黄豆,35.0
94,2025,A4,1,黄豆,47.5
95,2025,A4,1,小麦,20.0
96,2025,A4,1,荞麦,4.5
97,2025,A5,1,黄豆,0.5
98,2025,A5,1,黑豆,43.7
99,2025,A5,1,爬豆,23.8
100,2025,A6,1,黄豆,45.9
101,2025,A6,1,荞麦,9.1
102,2025,B1,1,黄豆,8.6
103,2025,B1,1,玉米,9.3
104,2025,B1,1,高粱,25.0
105,2025,B1,1,红薯,17.1
106,2025,B2,1,黄豆,30.7
107,2025,B2,1,红豆,0.4
108,2025,B2,1,谷子,14.9
109,2025,B3,1,红豆,23.6
110,2025,B3,1,谷子,16.4
111,2025,B4,1,黄豆,11.4
112,2025,B4,1,小麦,4.3
113,2025,B4,1,南瓜,12.3
114,2025,B5,1,黄豆,4.9
115,2025,B5,1,绿豆,20.1
116,2025,B6,1,黄豆,56.6
117,2025,B6,1,小麦,29.4
118,2025,B7,1,绿豆,55.0
119,2025,B8,1,谷子,19.0
120,2025,B8,1,黍子,25.0
121,2025,B9,1,黄豆,50.0
122,2025,B10,1,绿豆,25.0
123,2025,B11,1,红豆,35.0
124,2025,B11,1,高粱,25.0
125,2025,B12,1,谷子,45.0
126,2025,B13,1,小麦,35.0
127,2025,B14,1,黄豆,2.1
128,2025,B14,1,小麦,17.9
129,2025,C1,1,黄豆,0.4
130,2025,C1,1,玉米,14.6
131,2025,C2,1,谷子,13.0
132,2025,C3,1,黄豆,15.0
133,2025,C4,1,玉米,18.0
134,2025,C5,1,黄豆,0.1
135,2025,C5,1,谷子,26.9
136,2025,C6,1,黄豆,3.7
137,2025,C6,1,玉米,16.3
138,2025,D1,1,刀豆,2.2
139,2025,D1,1,芸豆,1.4
140,2025,D1,1,包菜,0.7
141,2025,D1,1,油麦菜,1.1
142,2025,D1,1,黄瓜,1.1
143,2025,D1,1,辣椒,0.4
144,2025,D1,1,芹菜,0.3
145,2025,D1,2,大白菜,7.8
146,2025,D2,1,刀豆,7.4
147,2025,D2,1,青椒,1.1
148,2025,D2,2,大白菜,1.5
149,2025,D3,1,刀豆,12.6
150,2025,D3,1,西红柿,1.4
151,2025,D4,1,刀豆,5.2
152,2025,D4,1,小青菜,0.8
153,2025,D5,1,西红柿,10.0
154,2025,D6,1,豇豆,1.1
155,2025,D6,1,西红柿,0.6
156,2025,D6,1,小青菜,10.3
157,2025,D7,1,刀豆,19.7
158,2025,D7,1,西红柿,1.2
159,2025,D7,1,菜花,0.7
160,2025,D7,1,辣椒,0.4
161,2025,D8,1,豇豆,7.5
162,2025,D8,1,刀豆,3.6
163,2025,D8,1,西红柿,1.8
164,2025,D8,1,茄子,7.1
165,2025,E1,2,榆黄菇,0.6
166,2025,E2,2,白灵菇,0.6
167,2025,E3,1,刀豆,0.6
168,2025,E4,1,刀豆,0.6
169,2025,E5,1,豇豆,0.6
170,2025,E6,1,刀豆,0.6
171,2025,E7,1,刀豆,0.6
172,2025,E8,2,白灵菇,0.6
173,2025,E9,2,白灵菇,0.6
174,2025,E10,1,刀豆,0.6
175,2025,E11,1,豇豆,0.6
176,2025,E12,2,榆黄菇,0.6
177,2025,E13,1,豇豆,0.6
178,2025,E14,2,榆黄菇,0.6
179,2025,E15,1,刀豆,0.6
180,2025,E16,1,豇豆,0.6
181,2025,F1,2,豇豆,0.4
182,2025,F1,2,黄瓜,0.2
183,2025,F2,2,豇豆,0.3
184,2025,F2,2,黄瓜,0.3
185,2025,F3,2,豇豆,0.1
186,2025,F3,2,黄瓜,0.5
187,2025,F4,2,豇豆,0.6
188,2026,A1,1,黑豆,19.2
189,2026,A1,1,绿豆,60.8
190,2026,A2,1,绿豆,33.6
191,2026,A2,1,谷子,2.3
192,2026,A2,1,大麦,19.0
193,2026,A3,1,红豆,22.7
194,2026,A3,1,红薯,12.3
195,2026,A4,1,谷子,63.9
196,2026,A4,1,莜麦,8.1
197,2026,A5,1,黑豆,24.3
198,2026,A5,1,小麦,38.0
199,2026,A5,1,高粱,5.7
200,2026,A6,1,高粱,41.9
201,2026,A6,1,南瓜,11.7
202,2026,A6,1,莜麦,1.4
203,2026,B1,1,小麦,60.0
204,2026,B2,1,黄豆,14.9
205,2026,B2,1,玉米,31.1
206,2026,B3,1,小麦,40.0
207,2026,B4,1,小麦,23.7
208,2026,B4,1,红薯,4.3
209,2026,B5,1,莜麦,25.0
210,2026,B6,1,黄豆,29.4
211,2026,B6,1,玉米,56.6
212,2026,B7,1,黑豆,0.2
213,2026,B7,1,红豆,15.6
214,2026,B7,1,黍子,25.0
215,2026,B7,1,荞麦,14.3
216,2026,B8,1,小麦,44.0
217,2026,B9,1,玉米,50.0
218,2026,B10,1,谷子,25.0
219,2026,B11,1,谷子,60.0
220,2026,B12,1,黄豆,45.0
221,2026,B13,1,黄豆,35.0
222,2026,B14,1,爬豆,17.9
223,2026,B14,1,玉米,2.1
224,2026,C1,1,红豆,15.0
225,2026,C2,1,红豆,5.5
226,2026,C2,1,爬豆,7.5
227,2026,C3,1,谷子,15.0
228,2026,C4,1,小麦,18.0
229,2026,C5,1,黄豆,26.9
230,2026,C5,1,莜麦,0.1
231,2026,C6,1,谷子,20.0
232,2026,D1,1,豇豆,4.1
233,2026,D1,1,西红柿,2.5
234,2026,D1,1,青椒,1.1
235,2026,D1,2,大白菜,7.2
236,2026,D2,1,刀豆,2.6
237,2026,D2,1,辣椒,0.8
238,2026,D2,2,大白菜,6.7
239,2026,D3,1,芸豆,0.7
240,2026,D3,1,西红柿,12.6
241,2026,D3,1,小青菜,0.7
242,2026,D4,1,油麦菜,1.1
243,2026,D4,1,小青菜,4.9
244,2026,D5,1,豇豆,6.6
245,2026,D5,1,刀豆,1.6
246,2026,D5,1,菜花,0.4
247,2026,D5,1,黄瓜,1.1
248,2026,D5,1,芹菜,0.3
249,2026,D6,1,刀豆,9.2
250,2026,D6,1,菜花,0.3
251,2026,D6,1,包菜,0.7
252,2026,D6,1,小青菜,1.7
253,2026,D7,1,茄子,7.1
254,2026,D7,1,小青菜,3.8
255,2026,D7,2,大白菜,11.1
256,2026,D8,2,白萝卜,20.0
257,2026,E1,1,豇豆,0.6
258,2026,E2,2,羊肚菌,0.6
259,2026,E3,2,羊肚菌,0.6
260,2026,E4,2,羊肚菌,0.6
261,2026,E5,2,羊肚菌,0.6
262,2026,E6,2,白灵菇,0.6
263,2026,E7,2,香菇,0.6
264,2026,E8,2,羊肚菌,0.6
265,2026,E9,2,羊肚菌,0.6
266,2026,E10,2,榆黄菇,0.6
267,2026,E11,2,白灵菇,0.6
268,2026,E12,1,芸豆,0.6
269,2026,E13,2,榆黄菇,0.6
270,2026,E14,2,羊肚菌,0.6
271,2026,E15,2,白灵菇,0.6
272,2026,E16,2,榆黄菇,0.6
273,2026,F1,2,豇豆,0.2
274,2026,F1,2,茄子,0.4
275,2026,F2,2,茄子,0.3
276,2026,F2,2,黄瓜,0.3
277,2026,F3,2,豇豆,0.3
278,2026,F3,2,茄子,0.2
279,2026,F3,2,黄瓜,0.1
280,2026,F4,2,茄子,0.1
281,2026,F4,2,黄瓜,0.5
282,2027,A1,1,谷子,46.7
283,2027,A1,1,莜麦,33.3
284,2027,A2,1,红豆,14.9
285,2027,A2,1,高粱,40.1
286,2027,A3,1,黄豆,29.4
287,2027,A3,1,黍子,5.6
288,2027,A4,1,绿豆,24.5
289,2027,A4,1,小麦,39.4
290,2027,A4,1,谷子,8.1
291,2027,A5,1,玉米,68.0
292,2027,A6,1,爬豆,9.1
293,2027,A6,1,玉米,45.9
294,2027,B1,1,绿豆,51.4
295,2027,B1,1,大麦,8.6
296,2027,B2,1,小麦,46.0
297,2027,B3,1,红豆,16.4
298,2027,B3,1,谷子,9.3
299,2027,B3,1,荞麦,14.3
300,2027,B4,1,黑豆,16.6
301,2027,B4,1,大麦,11.4
302,2027,B5,1,高粱,7.9
303,2027,B5,1,红薯,17.1
304,2027,B6,1,谷子,86.0
305,2027,B7,1,黄豆,32.3
306,2027,B7,1,绿豆,22.7
307,2027,B8,1,黄豆,44.0
308,2027,B9,1,小麦,50.0
309,2027,B10,1,黄豆,23.1
310,2027,B10,1,红豆,1.9
311,2027,B11,1,红豆,25.0
312,2027,B11,1,小麦,15.2
313,2027,B11,1,玉米,19.8
314,2027,B12,1,黑豆,29.4
315,2027,B12,1,黍子,15.6
316,2027,B13,1,谷子,35.0
317,2027,B14,1,小麦,20.0
318,2027,C1,1,黄豆,2.0
319,2027,C1,1,南瓜,13.0
320,2027,C2,1,小麦,13.0
321,2027,C3,1,小麦,15.0
322,2027,C4,1,黄豆,18.0
323,2027,C5,1,小麦,27.0
324,2027,C6,1,爬豆,16.3
325,2027,C6,1,黍子,3.7
326,2027,D1,1,刀豆,7.2
327,2027,D1,2,大白菜,7.8
328,2027,D2,1,西红柿,5.8
329,2027,D2,1,茄子,1.9
330,2027,D2,1,辣椒,0.8
331,2027,D2,2,大白菜,1.5
332,2027,D3,1,豇豆,0.7
333,2027,D3,1,青椒,1.1
334,2027,D3,1,油麦菜,1.1
335,2027,D3,1,芹菜,0.3
336,2027,D3,2,大白菜,10.8
337,2027,D4,1,刀豆,0.8
338,2027,D4,1,茄子,5.2
339,2027,D5,1,豇豆,1.8
340,2027,D5,1,菜花,0.7
341,2027,D5,2,大白菜,1.4
342,2027,D5,2,白萝卜,6.0
343,2027,D6,1,刀豆,1.7
344,2027,D6,1,西红柿,9.2
345,2027,D6,1,黄瓜,1.1
346,2027,D7,1,刀豆,2.3
347,2027,D7,1,包菜,0.7
348,2027,D7,2,白萝卜,19.0
349,2027,D8,1,豇豆,8.9
350,2027,D8,1,小青菜,11.1
351,2027,E1,2,榆黄菇,0.6
352,2027,E2,1,芸豆,0.6
353,2027,E3,2,榆黄菇,0.6
354,2027,E4,2,榆黄菇,0.6
355,2027,E5,2,白灵菇,0.6
356,2027,E6,2,香菇,0.6
357,2027,E7,2,羊肚菌,0.6
358,2027,E8,1,刀豆,0.6
359,2027,E9,1,芸豆,0.6
360,2027,E10,2,香菇,0.6
361,2027,E11,2,羊肚菌,0.6
362,2027,E12,2,白灵菇,0.6
363,2027,E13,2,白灵菇,0.6
364,2027,E14,1,刀豆,0.6
365,2027,E15,2,羊肚菌,0.6
366,2027,E16,2,羊肚菌,0.6
367,2027,F1,2,黄瓜,0.6
368,2027,F2,2,豇豆,0.3
369,2027,F2,2,黄瓜,0.3
370,2027,F3,2,豇豆,0.2
371,2027,F3,2,茄子,0.4
372,2027,F4,2,茄子,0.5
373,2027,F4,2,黄瓜,0.1
374,2028,A1,1,黄豆,38.5
375,2028,A1,1,小麦,32.6
376,2028,A1,1,莜麦,8.9
377,2028,A2,1,谷子,38.9
378,2028,A2,1,大麦,16.1
379,2028,A3,1,小麦,35.0
380,2028,A4,1,玉米,48.2
381,2028,A4,1,黍子,23.8
382,2028,A5,1,红豆,37.0
383,2028,A5,1,南瓜,11.7
384,2028,A5,1,红薯,16.4
385,2028,A5,1,大麦,2.9
386,2028,A6,1,黄豆,40.5
387,2028,A6,1,谷子,14.5
388,2028,B1,1,绿豆,7.9
389,2028,B1,1,谷子,52.1
390,2028,B2,1,黄豆,21.0
391,2028,B2,1,爬豆,25.0
392,2028,B3,1,小麦,40.0
393,2028,B4,1,谷子,28.0
394,2028,B5,1,小麦,25.0
395,2028,B6,1,小麦,86.0
396,2028,B7,1,绿豆,32.3
397,2028,B7,1,玉米,22.7
398,2028,B8,1,黑豆,27.1
399,2028,B8,1,小麦,2.7
400,2028,B8,1,荞麦,14.3
401,2028,B9,1,高粱,50.0
402,2028,B10,1,谷子,25.0
403,2028,B11,1,绿豆,60.0
404,2028,B12,1,黄豆,45.0
405,2028,B13,1,玉米,35.0
406,2028,B14,1,红豆,20.0
407,2028,C1,1,玉米,15.0
408,2028,C2,1,谷子,13.0
409,2028,C3,1,谷子,15.0
410,2028,C4,1,玉米,18.0
411,2028,C5,1,莜麦,27.0
412,2028,C6,1,黑豆,20.0
413,2028,D1,1,茄子,6.5
414,2028,D1,1,小青菜,8.5
415,2028,D2,1,青椒,1.1
416,2028,D2,1,黄瓜,1.1
417,2028,D2,2,白萝卜,7.8
418,2028,D3,1,刀豆,13.4
419,2028,D3,1,茄子,0.6
420,2028,D4,1,豇豆,3.2
421,2028,D4,1,油麦菜,1.1
422,2028,D4,2,白萝卜,1.7
423,2028,D5,1,豇豆,8.2
424,2028,D5,2,大白菜,1.8
425,2028,D6,1,小青菜,0.6
426,2028,D6,2,大白菜,11.4
427,2028,D7,1,菜花,0.7
428,2028,D7,1,芹菜,0.3
429,2028,D7,2,大白菜,16.8
430,2028,D7,2,红萝卜,4.1
431,2028,D8,1,芸豆,1.4
432,2028,D8,1,西红柿,15.1
433,2028,D8,1,包菜,0.7
434,2028,D8,1,小青菜,2.0
435,2028,D8,1,辣椒,0.8
436,2028,E1,2,羊肚菌,0.6
437,2028,E2,2,白灵菇,0.6
438,2028,E3,2,羊肚菌,0.6
439,2028,E4,2,白灵菇,0.6
440,2028,E5,2,榆黄菇,0.6
441,2028,E6,2,羊肚菌,0.6
442,2028,E7,2,香菇,0.6
443,2028,E8,2,羊肚菌,0.6
444,2028,E9,2,香菇,0.6
445,2028,E10,2,羊肚菌,0.6
446,2028,E11,2,白灵菇,0.6
447,2028,E12,2,羊肚菌,0.6
448,2028,E13,2,羊肚菌,0.6
449,2028,E14,2,榆黄菇,0.6
450,2028,E15,2,香菇,0.6
451,2028,E16,2,榆黄菇,0.6
452,2028,F1,2,茄子,0.6
453,2028,F2,2,茄子,0.6
454,2028,F3,2,茄子,0.2
455,2028,F3,2,黄瓜,0.4
456,2028,F4,2,茄子,0.1
457,2028,F4,2,黄瓜,0.5
458,2029,A1,1,绿豆,75.4
459,2029,A1,1,大麦,4.6
460,2029,A2,1,小麦,55.0
461,2029,A3,1,爬豆,23.3
462,2029,A3,1,南瓜,11.7
463,2029,A4,1,黑豆,43.7
464,2029,A4,1,玉米,23.8
465,2029,A4,1,莜麦,4.5
466,2029,A5,1,绿豆,19.0
467,2029,A5,1,谷子,35.4
468,2029,A5,1,荞麦,13.6
469,2029,A6,1,黄豆,14.5
470,2029,A6,1,谷子,40.5
471,2029,B1,1,玉米,60.0
472,2029,B2,1,小麦,18.5
473,2029,B2,1,谷子,27.5
474,2029,B3,1,高粱,15.0
475,2029,B3,1,黍子,25.0
476,2029,B4,1,黄豆,23.8
477,2029,B4,1,小麦,4.2
478,2029,B5,1,红豆,25.0
479,2029,B6,1,黄豆,31.3
480,2029,B6,1,玉米,54.7
481,2029,B7,1,高粱,22.6
482,2029,B7,1,红薯,17.1
483,2029,B7,1,大麦,15.2
484,2029,B8,1,谷子,44.0
485,2029,B9,1,小麦,50.0
486,2029,B10,1,黄豆,25.0
487,2029,B11,1,黄豆,10.0
488,2029,B11,1,红豆,33.9
489,2029,B11,1,莜麦,16.0
490,2029,B12,1,小麦,45.0
491,2029,B13,1,小麦,35.0
492,2029,B14,1,谷子,20.0
493,2029,C1,1,莜麦,15.0
494,2029,C2,1,高粱,13.0
495,2029,C3,1,小麦,15.0
496,2029,C4,1,爬豆,0.5
497,2029,C4,1,谷子,17.5
498,2029,C5,1,黄豆,27.0
499,2029,C6,1,黄豆,20.0
500,2029,D1,1,刀豆,13.4
501,2029,D1,1,西红柿,1.2
502,2029,D1,1,芹菜,0.3
503,2029,D2,1,西红柿,10.0
504,2029,D3,1,西红柿,3.9
505,2029,D3,2,大白菜,10.1
506,2029,D4,1,黄瓜,1.1
507,2029,D4,1,辣椒,0.8
508,2029,D4,2,大白菜,4.2
509,2029,D5,1,青椒,1.1
510,2029,D5,2,大白菜,3.9
511,2029,D5,2,白萝卜,5.0
512,2029,D6,1,菜花,0.7
513,2029,D6,1,小青菜,11.1
514,2029,D6,2,白萝卜,0.2
515,2029,D7,1,芸豆,1.4
516,2029,D7,1,包菜,0.7
517,2029,D7,2,白萝卜,19.8
518,2029,D8,1,豇豆,11.4
519,2029,D8,1,茄子,7.1
520,2029,D8,1,油麦菜,1.1
521,2029,D8,2,大白菜,0.4
522,2029,E1,2,榆黄菇,0.6
523,2029,E2,2,羊肚菌,0.6
524,2029,E3,2,香菇,0.6
525,2029,E4,2,羊肚菌,0.6
526,2029,E5,2,白灵菇,0.6
527,2029,E6,2,榆黄菇,0.6
528,2029,E7,2,羊肚菌,0.6
529,2029,E8,2,香菇,0.6
530,2029,E9,2,羊肚菌,0.6
531,2029,E10,2,榆黄菇,0.6
532,2029,E11,2,羊肚菌,0.6
533,2029,E12,2,白灵菇,0.6
534,2029,E13,2,香菇,0.6
535,2029,E14,2,白灵菇,0.6
536,2029,E15,2,羊肚菌,0.6
537,2029,E16,2,羊肚菌,0.6
538,2029,F1,2,黄瓜,0.6
539,2029,F2,2,包菜,0.2
540,2029,F2,2,黄瓜,0.1
541,2029,F2,2,芹菜,0.3
542,2029,F3,2,茄子,0.4
543,2029,F3,2,黄瓜,0.2
544,2029,F4,2,茄子,0.5
545,2029,F4,2,黄瓜,0.1
546,2030,A1,1,黄豆,62.4
547,2030,A1,1,南瓜,1.2
548,2030,A1,1,红薯,16.4
549,2030,A2,1,红豆,3.8
550,2030,A2,1,绿豆,51.2
551,2030,A3,1,谷子,35.0
552,2030,A4,1,黄豆,66.6
553,2030,A4,1,绿豆,1.9
554,2030,A4,1,谷子,3.5
555,2030,A5,1,小麦,68.0
556,2030,A6,1,玉米,55.0
557,2030,B1,1,小麦,15.8
558,2030,B1,1,高粱,44.2
559,2030,B2,1,南瓜,11.0
560,2030,B2,1,莜麦,35.0
561,2030,B3,1,玉米,40.0
562,2030,B4,1,爬豆,4.2
563,2030,B4,1,小麦,23.8
564,2030,B5,1,小麦,25.0
565,2030,B6,1,黑豆,46.0
566,2030,B6,1,谷子,40.0
567,2030,B7,1,红豆,55.0
568,2030,B8,1,高粱,5.8
569,2030,B8,1,黍子,25.0
570,2030,B8,1,荞麦,13.2
571,2030,B9,1,爬豆,20.8
572,2030,B9,1,玉米,6.8
573,2030,B9,1,谷子,22.3
574,2030,B10,1,小麦,25.0
575,2030,B11,1,谷子,40.0
576,2030,B11,1,大麦,20.0
577,2030,B12,1,谷子,45.0
578,2030,B13,1,玉米,35.0
579,2030,B14,1,小麦,20.0
580,2030,C1,1,小麦,15.0
581,2030,C2,1,小麦,13.0
582,2030,C3,1,黄豆,15.0
583,2030,C4,1,小麦,18.0
584,2030,C5,1,绿豆,25.8
585,2030,C5,1,荞麦,1.2
586,2030,C6,1,绿豆,20.0
587,2030,D1,1,豇豆,11.4
588,2030,D1,1,刀豆,1.6
589,2030,D1,1,青椒,1.1
590,2030,D1,1,菜花,0.7
591,2030,D1,1,辣椒,0.2
592,2030,D2,1,小青菜,9.7
593,2030,D2,1,芹菜,0.3
594,2030,D3,1,油麦菜,1.1
595,2030,D3,1,小青菜,1.4
596,2030,D3,1,黄瓜,1.1
597,2030,D3,2,大白菜,2.0
598,2030,D3,2,白萝卜,8.4
599,2030,D4,2,大白菜,1.8
600,2030,D4,2,红萝卜,4.2
601,2030,D5,1,西红柿,10.0
602,2030,D6,1,茄子,7.1
603,2030,D6,1,包菜,0.7
604,2030,D6,2,大白菜,4.2
605,2030,D7,2,大白菜,22.0
606,2030,D8,1,刀豆,11.9
607,2030,D8,1,芸豆,1.4
608,2030,D8,1,西红柿,5.1
609,2030,D8,1,辣椒,0.6
610,2030,D8,2,红萝卜,1.0
611,2030,E1,2,香菇,0.6
612,2030,E2,2,白灵菇,0.6
613,2030,E3,2,羊肚菌,0.6
614,2030,E4,2,榆黄菇,0.6
615,2030,E5,2,羊肚菌,0.6
616,2030,E6,2,羊肚菌,0.6
617,2030,E7,2,榆黄菇,0.6
618,2030,E8,2,羊肚菌,0.6
619,2030,E9,2,香菇,0.6
620,2030,E10,2,羊肚菌,0.6
621,2030,E11,2,香菇,0.6
622,2030,E12,2,羊肚菌,0.6
623,2030,E13,2,白灵菇,0.6
624,2030,E14,2,羊肚菌,0.6
625,2030,E15,2,榆黄菇,0.6
626,2030,E16,2,白灵菇,0.6
627,2030,F1,2,茄子,0.6
628,2030,F2,2,茄子,0.6
629,2030,F3,2,茄子,0.2
630,2030,F3,2,黄瓜,0.4
631,2030,F4,2,茄子,0.1
632,2030,F4,2,黄瓜,0.5
